CP,farmacias
76486.0,1
76505.0,1
76637.0,1
76640.0,1
76534.0,1
76529.0,1
76520.0,1
76536.0,1
76460.0,1
76489.0,1
76495.0,1
76485.0,1
76630.0,1
76490.0,1
76493.0,1
76605.0,1
76671.0,1
77533.0,7
77503.0,7
77600.0,6
77519.0,4
77516.0,3
77512.0,2
77500.0,2
77712.0,1
7777771100.0,1
7777550099.0,1
77509.0,1
77524.0,1
77728.0,1
77000.0,1
77010.0,1
77026.0,1
77035.0,1
77019.0,1
77086.0,1
77027.0,1
77036.0,1
77030.0,1
77013.0,1
77960.0,1
77038.0,1
77025.0,1
77034.0,1
77083.0,1
77710.0,1
77675.0,1
4560.0,9
78250.0,4
79402.0,4
78233.0,4
78700.0,3
78421.0,3
78738.0,3
78320.0,3
78399.0,3
78384.0,3
78270.0,3
78143.0,2
78117.0,2
79932.0,2
78170.0,2
78269.0,2
79300.0,2
79000.0,2
79050.0,2
78364.0,2
78280.0,2
78436.0,2
78394.0,2
7900.0,2
78870.0,1
78920.0,1
79900.0,1
78600.0,1
78438.0,1
78258.0,1
78000.0,1
78350.0,1
78310.0,1
79930.0,1
78422.0,1
78435.0,1
78153.0,1
78900.0,1
